date,NFP T    Index
2024-03-31,158133.0
2024-02-29,157830.0
2024-01-31,157560.0
2023-12-31,157304.0
2023-11-30,157014.0
2023-10-31,156832.0
2023-09-30,156667.0
2023-08-31,156421.0
2023-07-31,156211.0
2023-06-30,156027.0
2023-05-31,155787.0
2023-04-30,155484.0
2023-03-31,155206.0
2023-02-28,155060.0
2023-01-31,154773.0
2022-12-31,154291.0
2022-11-30,154155.0
2022-10-31,153897.0
2022-09-30,153536.0
2022-08-31,153281.0
2022-07-31,153038.0
2022-06-30,152348.0
2022-05-31,151928.0
2022-04-30,151642.0
2022-03-31,151370.0
2022-02-28,150876.0
2022-01-31,150014.0
2021-12-31,149763.0
2021-11-30,149197.0
2021-10-31,148566.0
2021-09-30,147706.0
2021-08-31,147226.0
2021-07-31,146761.0
2021-06-30,145822.0
2021-05-31,145044.0
2021-04-30,144593.0
2021-03-31,144274.0
2021-02-28,143443.0
2021-01-31,142916.0
2020-12-31,142518.0
2020-11-30,142761.0
2020-10-31,142493.0
2020-09-30,141820.0
2020-08-31,140774.0
2020-07-31,139240.0
2020-06-30,137655.0
2020-05-31,133040.0
2020-04-30,130421.0
2020-03-31,150898.0
2020-02-29,152309.0
2020-01-31,152045.0
2019-12-31,151792.0
2019-11-30,151666.0
2019-10-31,151458.0
2019-09-30,151358.0
2019-08-31,151155.0
2019-07-31,150934.0
2019-06-30,150844.0
2019-05-31,150640.0
2019-04-30,150602.0
2019-03-31,150294.0
2019-02-28,150067.0
2019-01-31,150062.0
2018-12-31,149804.0
2018-11-30,149622.0
2018-10-31,149525.0
2018-09-30,149361.0
2018-08-31,149274.0
2018-07-31,149023.0
2018-06-30,148968.0
2018-05-31,148755.0
2018-04-30,148426.0
2018-03-31,148280.0
2018-02-28,148054.0
2018-01-31,147667.0
2017-12-31,147521.0
2017-11-30,147375.0
2017-10-31,147146.0
2017-09-30,146999.0
2017-08-31,146907.0
2017-07-31,146772.0
2017-06-30,146588.0
2017-05-31,146389.0
2017-04-30,146173.0
2017-03-31,145976.0
2017-02-28,145848.0
2017-01-31,145636.0
2016-12-31,145410.0
2016-11-30,145188.0
2016-10-31,145069.0
2016-09-30,144961.0
2016-08-31,144664.0
2016-07-31,144515.0
2016-06-30,144152.0
2016-05-31,143901.0
2016-04-30,143856.0
2016-03-31,143666.0
2016-02-29,143411.0
2016-01-31,143196.0
2015-12-31,143083.0
