date,GB02 Govt,GB03 Govt,GB06 Govt,GB12 Govt,GBM Govt,USGG10YR Index,USGG20YR Index,USGG2YR Index,USGG30YR Index,USGG3YR Index,USGG5YR Index,USGG7YR Index
2024-04-18,5.402,5.407,5.372,5.175,5.393,4.6326,4.8543,4.9861,4.7303,4.8205,4.6767,4.6589
2024-04-17,5.402,5.407,5.362,5.161,5.394,4.5873,4.8225,4.9321,4.7002,4.7633,4.6149,4.6047
2024-04-16,5.408,5.375,5.368,5.187,5.393,4.6674,4.8862,4.9871,4.7626,4.8428,4.7015,4.6911
2024-04-15,5.41,5.388,5.359,5.164,5.393,4.6014,4.8377,4.9205,4.7167,4.7629,4.6199,4.6179
2024-04-12,5.368,5.39,5.345,5.138,5.376,4.5216,4.7494,4.8966,4.6294,4.7316,4.5584,4.5451
2024-04-11,5.402,5.402,5.363,5.162,5.386,4.5865,4.7996,4.9609,4.6784,4.7997,4.6316,4.6227
2024-04-10,5.402,5.408,5.374,5.205,5.389,4.5435,4.7443,4.9731,4.6223,4.7997,4.6044,4.5822
2024-04-09,5.397,5.363,5.316,5.042,5.382,4.3616,4.5938,4.7426,4.4964,4.557,4.3736,4.3715
2024-04-08,5.396,5.376,5.341,5.084,5.377,4.4198,4.6563,4.7886,4.5499,4.6031,4.4304,4.4324
2024-04-05,5.341,5.373,5.338,5.062,5.354,4.4016,4.66,4.7505,4.5528,4.5623,4.3947,4.4058
2024-04-04,5.358,5.361,5.299,5.007,5.362,4.3094,4.5768,4.6474,4.4757,4.4609,4.2971,4.3105
2024-04-03,5.368,5.366,5.33,5.036,5.374,4.3472,4.6109,4.6723,4.5072,4.4866,4.327,4.342
2024-04-02,5.37,5.365,5.298,5.046,5.387,4.3491,4.6023,4.6888,4.4953,4.5037,4.3411,4.3525
2024-04-01,5.4,5.375,5.329,5.067,5.391,4.3092,4.5526,4.7053,4.4484,4.5092,4.3198,4.3183
2024-03-29,5.373,5.371,5.323,5.029,5.356,4.2003,4.4519,4.62,4.3427,4.4089,4.2125,4.2082
2024-03-28,5.382,5.371,5.323,5.029,5.367,4.2003,4.4519,4.62,4.3427,4.4089,4.2125,4.2082
2024-03-27,5.389,5.375,5.312,4.994,5.374,4.1903,4.4448,4.5682,4.3503,4.3601,4.1862,4.1944
2024-03-26,5.4,5.363,5.31,4.995,5.378,4.2316,4.4949,4.591,4.3971,4.3856,4.221,4.2338
2024-03-25,5.405,5.391,5.312,4.982,5.388,4.2454,4.5033,4.6254,4.4154,4.3912,4.2281,4.2469
2024-03-22,5.398,5.376,5.298,4.97,5.376,4.1981,4.4651,4.5891,4.3779,4.3515,4.1822,4.1998
2024-03-21,5.386,5.394,5.307,4.998,5.371,4.2669,4.5261,4.6363,4.4347,4.4136,4.253,4.2732
2024-03-20,5.394,5.392,5.301,4.987,5.376,4.2728,4.5441,4.6023,4.4532,4.3937,4.2442,4.2706
2024-03-19,5.401,5.385,5.337,5.092,5.392,4.2925,4.5466,4.6831,4.4415,4.47,4.2973,4.3074
2024-03-18,5.405,5.395,5.339,5.084,5.399,4.3242,4.561,4.7319,4.4483,4.518,4.3416,4.3443
2024-03-15,5.368,5.396,5.331,5.073,5.372,4.3063,4.549,4.7276,4.4289,4.5065,4.3257,4.3258
2024-03-14,5.393,5.402,5.328,5.067,5.372,4.2903,4.5369,4.6936,4.4337,4.4637,4.2885,4.2995
2024-03-13,5.394,5.401,5.32,5.035,5.381,4.1899,4.4426,4.6345,4.3398,4.3848,4.1986,4.2027
2024-03-12,5.401,5.393,5.316,5.002,5.378,4.1507,4.4108,4.5862,4.3124,4.3313,4.1477,4.1585
2024-03-11,5.405,5.4,5.324,4.963,5.379,4.0982,4.3592,4.536,4.261,4.3018,4.0884,4.0963
2024-03-08,5.385,5.387,5.307,4.93,5.37,4.0749,4.3499,4.4735,4.2526,4.2472,4.0466,4.0628
2024-03-07,5.397,5.388,5.308,4.939,5.378,4.0827,4.3441,4.5014,4.2424,4.2755,4.0731,4.0837
2024-03-06,5.398,5.391,5.321,4.962,5.372,4.102,4.3523,4.5536,4.2397,4.3298,4.1168,4.1174
2024-03-05,5.392,5.372,5.307,4.949,5.37,4.1525,4.4132,4.5579,4.2918,4.3383,4.1448,4.1614
2024-03-04,5.412,5.381,5.326,4.992,5.388,4.2131,4.4736,4.6017,4.3531,4.384,4.2025,4.2238
2024-03-01,5.403,5.377,5.295,4.945,5.387,4.1798,4.4522,4.5313,4.3275,4.3237,4.1571,4.1875
2024-02-29,5.409,5.384,5.325,5.004,5.397,4.2502,4.513,4.6187,4.3789,4.4146,4.2447,4.2708
